,track_id,track_name,track_number,track_popularity,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type,track_duration_min,genres_list,genres_grouped,genres_final,year
2035,4OYsT3QxyyFchLCO9nDmZh,Durin IV,12,34,False,Bear McCreary,59,241463,"celtic, soundtrack",1zCtGVGxobce9FJXXLe1V2,The Lord of the Rings: The Rings of Power (Season One: Amazon Original Series Soundtrack),2022-10-14,38,album,3.07,"['celtic', 'soundtrack']",['soundtrack'],soundtrack,2022
2036,0vbp3qthXlRVsLXTbPrkX1,Gladiator,1,62,False,Jann,50,211032,,64PdJips9zx6e7Qev1Np01,Gladiator,2022-10-14,1,single,3.52,[],['unknown'],unknown,2022
2037,0mflMxspEfB0VbI1kyLiAv,Stick Season,2,84,False,Noah Kahan,82,4378755,,50ZenUP4O2Q5eCy2NRNvuz,Stick Season,2022-10-14,14,album,3.03,[],['unknown'],unknown,2022
2038,5gai8pjmX0756SfAOPnEZE,Khazad-dûm,4,42,False,Bear McCreary,59,241463,"celtic, soundtrack",1zCtGVGxobce9FJXXLe1V2,The Lord of the Rings: The Rings of Power (Season One: Amazon Original Series Soundtrack),2022-10-14,38,album,3.33,"['celtic', 'soundtrack']",['soundtrack'],soundtrack,2022
2039,42JkixtxgfPZGOd5GrWqqZ,Where You Go,1,20,False,ILURO,41,8658,,0jP18bu1avrxkE9lzDwyqz,Where You Go,2022-10-14,1,single,2.62,[],['unknown'],unknown,2022
2040,4v5wIF908EDFp556SNDOfz,Your Love Was A Gift,5,19,True,Mykki Blanco,35,86563,,5Rp7lUCN6NbLirhc505A1j,Stay Close To Music,2022-10-14,13,album,4.33,[],['unknown'],unknown,2022
2041,5Z2MiIZ5I3jJvvmeWMLbOQ,Escapism.,1,5,True,RAYE,81,2853248,,3omkMn8vbTKOebb9ABbqyb,Escapism. / The Thrill Is Gone.,2022-10-12,4,single,4.53,[],['unknown'],unknown,2022
2042,74loibzxXRL875X20kenvk,Poland,1,58,True,Lil Yachty,75,10907844,,5LZiWbqOpj6g8uxSHch12S,Poland,2022-10-11,1,single,1.38,[],['unknown'],unknown,2022
2043,5Hp4xFihdOE2dmDzxWcBFb,All By Myself,1,64,False,Alok,76,11246962,"brazilian bass, electronic, slap house, electro house",3lAmnw0gNntYuTltwETnSn,All By Myself,2022-10-07,1,single,2.86,"['brazilian bass', 'electronic', 'slap house', 'electro house']",['other'],other,2022
2044,3tS55qdfVFF7VkQTyWunnG,All of Human Knowledge Made Us Dumb,1,57,False,SOFIA ISELLA,55,557085,,5pdyFxgI8cpTdopiWx4stf,All of Human Knowledge Made Us Dumb,2022-10-07,1,single,3.82,[],['unknown'],unknown,2022
2045,1Ame8XTX6QHY0l0ahqUhgv,THE LONELIEST,1,67,False,Måneskin,76,10636129,,1DFNeS38zvoPkx9wwMEwbc,THE LONELIEST,2022-10-07,1,single,4.11,[],['unknown'],unknown,2022
2046,0Njbfdqov90zIfAXZl7hIf,HUSH,3,54,False,Ari Abdul,66,754907,dark r&b,6zvckLWDs3GtRAll4b0Cvl,Fallen Angel,2022-10-07,6,single,3.18,['dark r&b'],['dark r&b'],dark r&b,2022
2047,2GfQhXyoUXYTkMHDXJhCU5,Iron Lung,6,12,False,King Gizzard & The Lizard Wizard,34,1319943,"neo-psychedelic, psychedelic rock",2nPbslvl01lfELsFHTKp0s,"Ice, Death, Planets, Lungs, Mushrooms And Lava",2022-10-07,7,album,9.07,"['neo-psychedelic', 'psychedelic rock']",['other'],other,2022
2048,5BDZ8atcxq0QHGn66YwTwh,just wanna rock - Sped Up Version,1,49,True,sped up nightcore,64,190093,nightcore,7u8Cd4sL0qRPr48vGjI5Ji,just wanna rock (Lil Uzi Vert) [Sped Up Version],2022-10-07,1,single,1.67,['nightcore'],['other'],other,2022
2049,48qgXl0CQUVYJVn6xv0rsP,Nothing Changed,1,50,True,Quavo,76,8083202,,4Lo6GJMW4ctfhtuCqMkn1O,Nothing Changed,2022-09-30,1,single,3.31,[],['unknown'],unknown,2022
2050,46cdw28EXOhDPnD1emDC6T,SNAP - High and Fast,2,1,False,Rosa Linn,63,467788,,3CVEB0FPk25Ds64ALgxjH7,SNAP PACK,2022-09-30,7,single,2.26,[],['unknown'],unknown,2022
2051,6qmvAJSUfVGMubvI2awW7p,uh oh,1,75,True,Tate McRae,88,9249502,pop,0m9hqW0RDEHPNXxhiFUGSq,uh oh,2022-09-30,1,single,2.82,['pop'],['pop'],pop,2022
2052,4JvUOwtUo9Jps39hEApetL,Whole World Depressed,1,12,True,Teddy,35,37106,emo rap,1S00uPXyy6E6Qv6uOXzZ0S,Tales of Euphoria,2022-09-30,12,album,2.75,['emo rap'],['other'],other,2022
2053,1il2TGB3AX2hHxmJNcKtMj,H i j o D e L a L u n a (Orchestra),1,0,False,ExtraaaVibe,9,647,,6CHRoLipyiuHYyWCRfPiOJ,H i j o D e L a L u n a (Orchestra),2022-09-29,1,single,2.6,[],['unknown'],unknown,2022
2054,78dtqFPt7cvYgS2zTXtZKV,Summertime Sadness - Sped Up,1,58,False,Lana Del Rey,88,51821190,"alternative pop, indie pop",29PibmV31F3q6DRVq7gzZc,Summertime Sadness (Sped Up),2022-09-26,2,single,3.28,"['alternative pop', 'indie pop']",['alternative pop'],alternative pop,2022
2055,5MZTbo1le4oNXF1EedvzKC,"My Name Is Skyler White, Yo",1,15,False,'Ery Noice,25,11720,,1ZFxAYRjawmyphFHE2rPvL,"My Name Is Skyler White, Yo",2022-09-25,1,single,1.16,[],['unknown'],unknown,2022
2056,0Bfr92yPEr9KocUpWP8xmh,Matwhashneesh,1,52,False,Cairokee,60,4296747,"egyptian pop, egyptian hip hop, arabic hip hop, mahraganat",6ucy4v9cUETA0yRQx8D34F,Roma,2022-09-23,12,album,4.11,"['egyptian pop', 'egyptian hip hop', 'arabic hip hop', 'mahraganat']",['other'],other,2022
2057,7yZc2gKENILqeJWofabYNF,Nefsy Ahbek,5,59,False,Cairokee,60,4296747,"egyptian pop, egyptian hip hop, arabic hip hop, mahraganat",6ucy4v9cUETA0yRQx8D34F,Roma,2022-09-23,12,album,4.29,"['egyptian pop', 'egyptian hip hop', 'arabic hip hop', 'mahraganat']",['other'],other,2022
2058,0EF1EE8zusg3Y869e56JFd,Nothing's New,4,79,False,Rio Romeo,64,673909,,3fIxJzinc2MADbgfkLrmYY,Good God!,2022-09-23,5,single,3.51,[],['unknown'],unknown,2022
2059,13E54FVYV7fzEfZhtrKn0K,Tarantino,3,50,False,Cairokee,60,4299545,"egyptian pop, egyptian hip hop, arabic hip hop, mahraganat",6ucy4v9cUETA0yRQx8D34F,Roma,2022-09-23,12,album,3.03,"['egyptian pop', 'egyptian hip hop', 'arabic hip hop', 'mahraganat']",['other'],other,2022
2060,4R7m6ZnA6GpuVikRKj2DGY,Thérèse,8,53,False,Maya Hawke,46,532995,,53RbAh13qFqN6wKraRLipl,MOSS,2022-09-23,13,album,3.45,[],['unknown'],unknown,2022
2061,6CU68VwcV10VfulVQMfj3X,Ana Negm,9,62,False,Cairokee,60,4299545,"egyptian pop, egyptian hip hop, arabic hip hop, mahraganat",6ucy4v9cUETA0yRQx8D34F,Roma,2022-09-23,12,album,4.03,"['egyptian pop', 'egyptian hip hop', 'arabic hip hop', 'mahraganat']",['other'],other,2022
2062,4vIbws1xp082bv0zl8vLaJ,Basrah w Atooh,8,67,False,Cairokee,60,4294346,"egyptian pop, egyptian hip hop, arabic hip hop, mahraganat",6ucy4v9cUETA0yRQx8D34F,Roma,2022-09-23,12,album,3.96,"['egyptian pop', 'egyptian hip hop', 'arabic hip hop', 'mahraganat']",['other'],other,2022
2063,3foAgkfOvNK13ZImQWdGwp,Zaman El Kalam,11,36,False,Cairokee,60,4294346,"egyptian pop, egyptian hip hop, arabic hip hop, mahraganat",6ucy4v9cUETA0yRQx8D34F,Roma,2022-09-23,12,album,3.5,"['egyptian pop', 'egyptian hip hop', 'arabic hip hop', 'mahraganat']",['other'],other,2022
2064,5odlY52u43F5BjByhxg7wg,golden hour,3,79,False,JVKE,75,5809992,,69AaAkdktFGnk9POmHENkT,this is what ____ feels like (Vol. 1-4),2022-09-23,12,album,3.48,[],['unknown'],unknown,2022
2065,1GKqff6G0zabRInKN9Vz1S,James Dean,2,55,False,Cairokee,60,4299545,"egyptian pop, egyptian hip hop, arabic hip hop, mahraganat",6ucy4v9cUETA0yRQx8D34F,Roma,2022-09-23,12,album,4.07,"['egyptian pop', 'egyptian hip hop', 'arabic hip hop', 'mahraganat']",['other'],other,2022
